iter	Passed	Remaining
604	14742	9624
605	14764	9599
606	14787	9574
607	14812	9550
608	14836	9525
609	14857	9499
610	14878	9472
611	14905	9450
612	14929	9425
613	14954	9401
614	14976	9375
615	14999	9350
616	15021	9324
617	15052	9304
618	15078	9280
619	15099	9254
620	15123	9229
621	15143	9203
622	15165	9177
623	15191	9153
624	15212	9127
625	15238	9103
626	15260	9078
627	15284	9053
628	15306	9028
629	15328	9002
630	15351	8977
631	15373	8951
632	15399	8928
633	15425	8905
634	15447	8879
635	15470	8854
636	15491	8828
637	15516	8804
638	15546	8782
639	15566	8756
640	15587	8729
641	15609	8704
642	15631	8678
643	15654	8653
644	15677	8628
645	15699	8603
646	15723	8578
647	15747	8554
648	15770	8529
649	15793	8504
650	15816	8479
651	15841	8455
652	15868	8432
653	15886	8404
654	15910	8380
655	15931	8354
656	15955	8329
657	15980	8305
658	16004	8281
659	16027	8256
660	16048	8230
661	16070	8205
662	16092	8179
663	16113	8153
664	16136	8128
665	16158	8103
666666	16220	80667667	16244	80668668	16268	80669669	16291	80670670	16311	79671671	16337	79672672	16358	79673673	16384	79674674	16412	79675675	16437	78676676	16459	78677677	16481	78678678	16504	78679679	16532	77680680	16555	77681681	16576	77682682	16599	77683683	16624	76684684	16646	76685685	16666	76686686	16689	76687687	16713	75688	16695	7536
689689	16757	75690690	16780	75691691	16802	74692692	16826	74693	16817	7415
694	16843	7391
695	16861	7364
696	16882	7339
697	16904	7314
698698	16966	73699699	16990	72700700	17013	72701701	17036	72702	17023	7192
703	17047	7167
704	17072	7143
705	17100	7121
706	17126	7097
707	17146	7071
708	17170	7047
709	17193	7022
710	17218	6998
711	17242	6974
712	17272	6952
713	17296	6928
714	17319	6903
715	17344	6879
716	17366	6854
717	17388	6829
718	17410	6804
719	17431	6779
720	17455	6754
721	17476	6729
722	17500	6704
723	17525	6681
724	17554	6658
725	17578	6634
726	17603	6610
727	17625	6585
728	17648	6560
729	17669	6535
730	17690	6509
731	17713	6485
732	17735	6460
733	17758	6435
734	17782	6411
735	17805	6386
736	17828	6361
737	17850	6337
738	17870	6311
739	17890	6285
740	17916	6262
741	17939	6237
742	17962	6213
743	17988	6189
744	18009	6164
745	18031	6139
746	18053	6114
747	18076	6090
748	18097	6064
749	18119	6039
750	18142	6015
751	18165	5990
752	18191	5967
753	18214	5942
754	18237	5918
755	18258	5892
756	18281	5868
757	18306	5844
758	18334	5821
759	18359	5797
760	18390	5775
761	18409	5750
762	18433	5725
763	18457	5701
764	18482	5677
765	18505	5653
766	18529	5628
767	18554	5604
768	18577	5580
769	18602	5556
770	18625	5532
771	18647	5507
772	18670	5482
773	18695	5458
774	18716	5433
775	18743	5410
776	18763	5385
777	18785	5360
778	18810	5336
779	18833	5311
780	18856	5287
781	18879	5263
782	18901	5238
783	18921	5213
784	18942	5188
785	18966	5163
786	18992	5140
787	19017	5116
788	19039	5091
789	19063	5067
790	19086	5043
791	19109	5018
792	19132	4994
793	19157	4970
794	19182	4946
795	19207	4922
796	19236	4899
797	19261	4875
798	19283	4851
799	19306	4826
800	19333	4803
801	19357	4778
802	19379	4754
803	19404	4730
804	19426	4705
805	19448	4681
806	19469	4656
807	19493	4632
808	19514	4607
809	19538	4583
810	19563	4559
811	19587	4535
812	19611	4510
813	19632	4485
814	19654	4461
815	19675	4436
816	19700	4412
817	19725	4388
818	19748	4364
819	19773	4340
820	19797	4316
821	19817	4291
822	19838	4266
823	19862	4242
824	19884	4217
825	19907	4193
826	19928	4168
827	19952	4144
828	19976	4120
829	20002	4096
830	20030	4073
831	20049	4048
832	20073	4024
833	20093	3999
834	20117	3975
835	20141	3951
836	20164	3926
837	20188	3902
838	20209	3878
839	20231	3853
840	20252	3828
841	20274	3804
842	20299	3780
843	20323	3756
844	20347	3732
845	20372	3708
846	20397	3684
847	20421	3660
848	20447	3636
849	20469	3612
850	20492	3587
851	20512	3563
852	20534	3538
853	20557	3514
854	20579	3490
855	20604	3466
856	20628	3442
857	20648	3417
858	20675	3393
859	20699	3369
860	20724	3345
861	20751	3322
862	20777	3298
863	20798	3273
864	20821	3249
865	20842	3224
866	20862	3200
867	20885	3176
868	20913	3152
869	20936	3128
870	20960	3104
871	20982	3080
872	21007	3056
873	21032	3032
874	21054	3007
875	21075	2983
876	21102	2959
877	21122	2934
878	21148	2911
879	21172	2887
880	21195	2862
881	21221	2839
882	21244	2814
883	21264	2790
884	21287	2766
885	21312	2742
886	21335	2718
887	21363	2694
888	21389	2670
889	21412	2646
890	21432	2621
891	21454	2597
892	21476	2573
893	21498	2549
894	21519	2524
895	21544	2500
896	21566	2476
897	21588	2452
898	21614	2428
899	21642	2404
900	21665	2380
901	21686	2356
902	21707	2331
903	21732	2307
904	21758	2284
905	21782	2259
906	21806	2235
907	21829	2211
908	21852	2187
909	21877	2163
910	21902	2139
911	21925	2115
912	21948	2091
913	21971	2067
914	21993	2043
915	22016	2018
916	22041	1995
917	22061	1970
918	22083	1946
919	22106	1922
920	22130	1898
921	22155	1874
922	22176	1850
923	22198	1825
924	22221	1801
925	22245	1777
926	22270	1753
927	22292	1729
928	22315	1705
929	22338	1681
930	22360	1657
931931	22416	16932932	22441	16933933	22462	15934934	22483	15935935	22506	15936936	22528	15937937	22553	14938938	22578	14939939	22599	14940	22591	1416
941	22615	1392
942	22637	1368
943	22660	1344
944	22684	1320
945	22707	1296
946	22727	1271
947947	22787	12948948	22812	12949949	22838	12950950	22861	11951951	22882	11952952	22904	11953953	22943	11954954	22968	10955955	22998	10956956	23020	10957957	23042	10958958	23067	9959959	23098	9960960	23121	9961961	23145	9962962	23168	8963963	23188	8964964	23213	8965965	23232	8966966	23255	7967967	23276	7968968	23298	7969969	23318	7970970	23343	6971	23335	672
972	23355	648
973	23379	624
974	23400	600
975	23425	576
976	23449	552
977	23473	528
978	23496	504
979	23518	479
980	23542	455
981981	23612	4982982	23635	4983983	23657	3984984	23680	3985985	23705	3986986	23727	3987987	23747	2988988	23766	2989989	23786	2990990	23807	2991991	23828	1992992	23847	1993993	23867	1994994	23888	1995995	23905	996996	23921	997997	23955	48
998	23972	23
999	23989	0
